Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.072587	2.8715558	3.4351778	-10.06125	0.018518519	0.13481686	1.0	0.0	493.2037	1.0	0.0	0.016129032	1.0	0.0	1.0	1.0	54.0	1.7323937	0.87096775	0.0	-inf	0.0	-5.263956	0.17691427	-5.0552216	-5.561102	1.0	0.0	1.0	1.0	124.125	2.0	0.3010299956639812	-0.053335663	0.108649634	0.1603556	-0.30867463	0.19745904	0.10992593	0.45272353	0.0	-0.0013873354	-0.01699569	0.76592696	62.81329	-0.16610692	-7.6358013	1.3873992	0.014207881	0.13125	79.0	4.6352949142456055	4000
1	-2.4603171	3.6725235	1.289179	-12.187201	0.05	0.21794493	1.0	0.0	483.825	3.0	0.47712123	0.028571429	1.0	0.0	1.0	1.0	94.0	1.9731278	0.8952381	0.0	-inf	0.0	-4.5881667	0.08712621	-4.418794	-4.707995	1.0	0.0	1.0	1.0	150.25	2.0	0.3010299956639812	-0.3606483	0.36543104	0.68920135	-1.2007176	8.791858	1.5325048	9.74247	0.0	-0.0013986104	-0.011382648	1.0855936	49.05065	-0.11851983	-6.1437407	1.3986012	0.015042543	0.092250004	22.0	8.79444146156311	8000
2	-3.6488652	3.688757	3.4880192	-11.018168	0.074074075	0.2618914	1.0	0.0	474.22223	5.0	0.69897	0.036764707	1.0	0.0	1.0	1.0	121.0	2.0827854	0.8897059	0.0	-inf	0.0	-3.6922967	0.09114102	-3.5707943	-3.8413777	1.0	0.0	1.0	1.0	141.5	2.0	0.3010299956639812	-0.7147329	0.3320886	0.6935349	-1.1878282	16.115215	0.19636296	16.242615	14.026078	-0.0014475212	-0.012364749	1.1293705	34.380875	-0.1067871	-4.0887833	1.4474928	0.009286866	0.12825	79.0	13.032400131225586	12000
3	-3.1095457	3.2662103	0.6828035	-10.719317	0.22222222	0.41573972	1.0	0.0	424.74075	11.0	1.0413927	0.065868266	1.0	0.0	1.0	1.0	148.0	2.1702616	0.88622755	0.0	-inf	0.0	-0.8467457	0.08101862	-0.73981315	-0.9583984	1.0	0.0	1.0	1.0	140.75	2.0	0.3010299956639812	-0.6788574	0.27806988	0.71191436	-1.0921577	21.736965	0.03617278	21.776745	21.551546	-0.0014566407	-0.013732485	0.84980005	29.42124	-0.07086949	-3.1260166	1.4566214	0.015084014	0.16675	19.0	17.218737840652466	16000
4	-1.7850342	3.5533364	7.202383	-9.104606	0.41666666	0.49300665	1.0	0.0	362.83334	21.0	1.3222193	0.10769231	1.0	0.0	1.0	1.0	172.0	2.2355285	0.8820513	0.0	-inf	0.0	-0.9705542	0.009418105	-0.9518921	-0.98183674	1.0	0.0	1.0	1.0	221.5	2.0	0.3010299956639812	-0.84223765	0.14472315	-0.42782062	-1.1352465	26.615675	0.03252973	26.641283	26.459515	-0.0014563445	-0.008002281	1.021884	24.414703	-0.08899007	-1.7296205	1.4563594	0.015715823	0.159	12.0	21.41627049446106	20000
5	-0.108338214	2.9406514	4.3443666	-5.7326083	0.05882353	0.23529413	1.0	0.0	483.94116	22.0	1.3424227	0.10185185	1.0	0.0	1.0	1.0	189.0	2.2764618	0.875	0.0	-inf	0.0	2.1091332	0.013995732	2.1324506	2.089424	1.0	0.0	1.0	1.0	313.0	2.0	0.3010299956639812	-0.61200017	0.42726412	0.5119582	-1.4179317	30.35648	0.068922386	30.389147	29.69848	-0.0015195664	-0.013213253	0.98689926	20.029524	-0.25486842	-0.025230885	1.5195801	0.012128973	0.134	79.0	25.570363998413086	24000
6	1.2287916	2.1613283	4.896275	-5.0075436	0.2	0.4	1.0	0.0	436.13333	25.0	1.39794	0.10638298	1.0	0.0	1.0	1.0	204.0	2.3096302	0.8680851	0.0	-inf	0.0	-0.41544688	0.008175234	-0.40481088	-0.42798445	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.19727096	0.45468664	0.6885211	-1.1157175	30.7706	0.06121029	30.808771	30.50995	-0.0015404643	-0.009387739	0.7081319	20.276943	-0.21125595	-0.12833357	1.5404721	0.015052013	0.13475001	28.0	29.557365894317627	28000
7	-0.24963008	1.7478409	1.7315087	-3.7632513	0.0	0.0	0.0	0.0	500.0	25.0	1.39794	0.10080645	0.6666667	0.47140452	1.0	0.0	210.0	2.3222194	0.8467742	0.0	-inf	0.0	-0.6652927	0.01074853	-0.6441145	-0.6775238	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.27929583	0.49353194	1.1569167	-1.0750669	29.860964	0.085845664	29.921942	29.372868	-0.0015834346	-0.01007413	0.47425306	21.314434	-0.15700293	-7.297657	1.583422	0.00934577	0.14175001	79.0	33.55889916419983	32000
8	1.1586032	1.9297595	3.2861714	-2.0605345	0.0	0.0	0.0	0.0	500.0	25.0	1.39794	0.09578544	0.5555556	0.49690402	1.0	0.0	215.0	2.3324385	0.8237548	0.0	-inf	0.0	-0.9974948	0.02103174	-0.9601116	-1.0232202	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.17040446	0.4391256	0.96339005	-0.8467035	10.631074	2.5343618	18.94326	2.7236261	-0.0015358068	-0.005627496	0.5917946	12.958434	-0.10916551	-2.157895	1.5357882	0.015703192	0.1765	6.0	37.26859092712402	36000
9	-4.699385	2.9105694	-1.0304512	-9.3552265	0.0	0.0	0.0	0.0	500.0	25.0	1.39794	0.09259259	0.125	0.3307189	1.0	0.0	216.0	2.3344538	0.8	0.0	-inf	0.0	-0.27713364	0.01333196	-0.25310957	-0.29713377	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.4066193	0.47975272	1.0521158	-0.8123516	2.948942	2.727983	10.856467	0.0	-0.001488436	-0.0041351356	0.9752853	4.252816	-0.40064555	-2.2741838	1.4884375	0.017061796	0.1775	7.0	40.963889837265015	40000
