Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.4164362	3.1860497	2.6519127	-13.489267	4.956538	4.0036163	21.80623	1.8462849	79.55319	235.02219	2.371109	4.273131	4.956538	4.0036163	21.80623	1.8462849	235.02219	2.371109	4.273131	47.0	1.6720979	0.8545455	-4.1584153	0.23528516	-3.698121	-4.487587	4.041836	0.27184802	4.422894	3.6140456	120.375	2.0	0.3010299956639812	-0.09303633	0.14395055	0.16078623	-0.49996954	0.0050613307	0.016212007	0.16190459	0.0	0.14339973	0.7277101	1.9750433	-1.857409	-0.0013777241	-0.013484643	0.8997463	-0.2640234	1.377769	0.014173557	0.092750005	79.0	2.880056619644165	4000
1	-0.10309456	0.86547536	2.5621655	-6.694367	3.1233923	0.5869489	5.501199	2.0600133	49.64557	481.91223	2.682968	3.4921176	3.1233923	0.5869489	5.501199	2.0600133	481.91223	2.682968	3.4921176	126.0	2.1003704	0.9130435	-3.1858256	0.3023712	-2.7472808	-3.570468	4.7580028	0.29700974	5.15215	4.2511935	123.75	2.043377637863159	0.31034863627716913	-0.36710277	0.67314786	0.6304876	-4.2395515	0.51435	0.13969634	0.9416416	0.010150783	-3.2365541	7.7209554	13.021754	-12.905646	-0.0013957452	-0.018542163	0.2627679	-0.16014466	1.3957298	0.016440794	0.0025	7.0	5.639767408370972	8000
2	-0.032481976	0.12891445	0.29504523	-0.5024355	2.6823134	0.36320603	3.7026114	1.9183307	33.016808	801.1075	2.9036908	3.0693774	2.6823134	0.36320603	3.7026114	1.9183307	801.1075	2.9036908	3.0693774	245.0	2.389166	0.93869734	-2.517543	0.16772608	-2.1990795	-2.7527652	5.5643024	0.275111	5.9456387	5.192597	133.625	2.0854759216308594	0.3192051799582979	-0.046825554	0.11188128	0.21590377	-0.45775384	3.6921802	0.5524177	5.691011	2.1022696	-10.487249	16.263683	23.406515	-22.933842	-0.0014093868	-0.016409874	0.004145026	-0.0020092598	1.4097178	0.018770788	0.00025	4.0	8.426936626434326	12000
3	-0.03602663	0.11412933	0.26304516	-0.3866837	2.6438754	0.31265354	3.4237027	2.0064287	32.04065	1126.3042	3.0516558	2.9028459	2.6438754	0.31265354	3.4237027	2.0064287	1126.3042	3.0516558	2.9028459	368.0	2.5658479	0.9484536	-1.2966835	0.13667458	-1.1083208	-1.4959884	8.128425	0.22915423	8.633909	7.8254657	159.25	2.126964807510376	0.3277603041808248	-0.030298244	0.05989226	0.14640929	-0.2331172	8.637267	1.1949053	13.284175	4.779243	-17.456549	21.713457	32.46634	-31.750782	-0.0014102999	-0.018446626	0.0017267716	-0.00012367545	1.410323	0.01721187	0.0005	4.0	11.178765296936035	16000
4	-0.03531453	0.13650328	0.3530261	-0.42660195	2.6831114	0.35299003	3.646665	1.9587879	32.237705	1453.6437	3.162458	2.8281004	2.6831114	0.35299003	3.646665	1.9587879	1453.6437	3.162458	2.8281004	490.0	2.690196	0.9533074	0.70041424	0.23085059	1.0081661	0.33475947	10.045596	0.25678906	10.290621	9.537142	231.0	2.1683804988861084	0.3361354928419834	-0.03800622	0.07177839	0.17932348	-0.33813947	13.372569	1.7067269	20.087217	6.5922475	-26.392866	25.315111	40.829704	-39.891853	-0.0014059125	-0.020528229	0.0024149632	-0.00021122812	1.4058456	0.016193625	0.0005	4.0	13.88206934928894	20000
5	-0.054153945	0.12684259	0.1886017	-0.47929394	2.6691475	0.33272454	3.4023318	1.9568644	32.768597	1776.6106	3.2495923	2.784656	2.6691475	0.33272454	3.4023318	1.9568644	1776.6106	3.2495923	2.784656	611.0	2.7860413	0.9576802	-1.2618287	0.19626532	-1.0116373	-1.588223	4.8389573	1.3923086	7.2503433	3.307076	306.25	2.2099897861480713	0.3443902665223134	-0.03519429	0.0757557	0.15412597	-0.29464185	17.648489	2.4085164	26.817726	8.983264	-31.300909	31.468792	48.83922	-47.687027	-0.0014015697	-0.021844242	0.0016428013	-0.00012647049	1.4015428	0.016002275	0.00425	4.0	16.68764901161194	24000
6	-0.05832181	0.121947385	0.18359974	-0.4832273	2.6290843	0.3343475	3.530579	1.9527626	32.512398	2094.7297	3.321128	2.7453864	2.6290843	0.3343475	3.530579	1.9527626	2094.7297	3.321128	2.7453864	732.0	2.864511	0.9593709	-0.4360953	0.24420486	-0.035637144	-0.69747216	2.589433	0.24889733	3.0868511	2.3145752	464.125	2.251845359802246	0.35253856304852765	-0.045656312	0.06871651	0.13952322	-0.3090034	22.140423	3.262416	32.251305	13.328944	-40.3454	33.579094	56.39535	-55.037403	-0.0013979119	-0.019245274	0.0016030734	-4.593216e-05	1.3977342	0.015852185	0.0025	3.0	19.529553651809692	28000
7	-0.0630758	0.13860956	0.19975783	-0.7786202	2.683761	0.32695782	3.4565978	1.9959984	32.92437	2414.0974	3.3827548	2.724715	2.683761	0.32695782	3.4565978	1.9959984	2414.0974	3.3827548	2.724715	851.0	2.9299295	0.9604966	-0.039028645	0.012094161	-0.028706396	-0.0677954	0.0	0.0	0.0	0.0	500.0	2.2939343452453613	0.36058098378944714	-0.055282082	0.079639904	0.16716202	-0.411995	26.226122	4.224086	39.806023	13.9217615	-47.179874	35.859863	63.748943	-62.189472	-0.0013912339	-0.018715382	0.0021071543	-0.000100349105	1.3912382	0.017112056	0.0045	3.0	22.41193699836731	32000
8	-0.07655224	0.26687938	0.30317977	-2.5028458	2.7500393	0.38128603	3.6985135	1.9594116	33.305084	2739.3857	3.437653	2.7176447	2.7500393	0.38128603	3.6985135	1.9594116	2739.3857	3.437653	2.7176447	969.0	2.9863238	0.96130955	-0.03381341	0.010451434	-0.02060452	-0.056898642	0.0	0.0	0.0	0.0	500.0	2.33634090423584	0.3685362125955359	-0.04995234	0.093742035	0.13495784	-0.6502868	30.362555	5.2151947	46.20999	15.747855	-54.21428	39.114635	70.918205	-69.16335	-0.0013835751	-0.0199631	0.013243809	-0.005335394	1.3835871	0.020223772	0.00675	3.0	25.3159818649292	36000
9	-0.06852885	0.13394777	0.27940765	-0.46208084	2.7971165	0.30427408	3.8984404	2.0928235	33.35593	3069.4456	3.4870598	2.7163236	2.7971165	0.30427408	3.8984404	2.0928235	3069.4456	3.4870598	2.7163236	1087.0	3.0362296	0.9619469	-0.018625913	0.009001145	-0.010155831	-0.034182936	0.0	0.0	0.0	0.0	500.0	2.3791298866271973	0.37641815263232054	-0.057969816	0.12736164	0.27020153	-0.64661944	34.439175	6.1272593	51.53938	18.674864	-59.958164	42.199173	77.99966	-76.05273	-0.0013733027	-0.021512657	0.0032829389	-0.001038986	1.3733026	0.022753669	0.0115	3.0	28.144577980041504	40000
