Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.46255404	1.9050623	6.1242995	-8.263856	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	55.0	1.7403626	0.8730159	0.0	-inf	0.0	-1.0447248	0.056056447	-0.98906744	-1.1559153	1.0	0.0	1.0	1.0	140.875	2.0	0.3010299956639812	-0.01227778	0.06392165	0.13220464	-0.14873134	0.08148288	0.037681874	0.15341061	0.0	-0.0014747232	-0.019158293	0.47577918	64.114624	-0.09106674	-7.3944607	1.4747651	0.015963078	0.19325	15.0	5.3819050788879395	4000
1	-1.1500043	2.7374635	6.2779694	-8.684959	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	102.0	2.0086002	0.9026549	0.0	-inf	0.0	-3.956108	0.09237015	-3.8358748	-4.0835214	1.0	0.0	1.0	1.0	141.75	2.0	0.3010299956639812	-0.13913137	0.4002936	0.8307912	-0.9630876	7.8548694	2.0217254	9.509226	0.0	-0.0014464799	-0.015671946	0.8534768	54.93812	-0.18796554	-8.1082115	1.4464962	0.015216453	0.153	30.0	10.980861902236938	8000
2	-2.8710883	2.8315902	0.7946259	-8.665913	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	135.0	2.1303337	0.9	0.0	-inf	0.0	-2.416947	0.07069717	-2.2736425	-2.5113285	1.0	0.0	1.0	1.0	147.125	2.0	0.3010299956639812	-0.1618172	0.40817612	0.8836933	-0.87540466	16.237694	0.31862515	16.470814	14.371238	-0.0013899207	-0.013866611	1.161587	38.94982	-0.19964382	-4.9100847	1.3899207	0.015182776	0.11875	55.0	16.76403832435608	12000
3	-1.0372266	2.8790941	5.3733153	-6.8816814	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	161.0	2.206826	0.89444447	0.0	-inf	0.0	-1.7688708	0.042516876	-1.6969483	-1.8097682	1.0	0.0	1.0	1.0	149.875	2.0	0.3010299956639812	-0.5240011	0.22322983	0.14336728	-1.0309652	22.166595	0.077353746	22.231146	21.755386	-0.0013886038	-0.014299741	0.7773485	28.793877	-0.11512017	-2.6929045	1.3886061	0.013510134	0.090749994	79.0	22.222282648086548	16000
4	-1.8264265	2.7833722	5.509191	-6.672225	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	185.0	2.2671716	0.8894231	0.0	-inf	0.0	-1.1538398	0.023710245	-1.1078694	-1.1805911	1.0	0.0	1.0	1.0	140.125	2.0	0.3010299956639812	-0.4550487	0.3837034	0.5303387	-1.1206307	26.582735	0.051521126	26.620502	26.200418	-0.001419194	-0.015071472	0.63864565	24.70891	-0.07692469	-1.5903339	1.4192138	0.015303575	0.1015	36.0	27.631990671157837	20000
5	-0.56781626	3.4022155	5.039499	-6.5940914	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	206.0	2.3138673	0.88412017	0.0	-inf	0.0	-0.64822537	0.01597939	-0.6266773	-0.6765034	1.0	0.0	1.0	1.0	213.125	2.0	0.3010299956639812	-0.48972508	0.55508965	0.68571335	-1.3356143	30.087408	0.019373806	30.106096	29.930132	-0.0014132131	-0.007440124	0.98695654	21.618742	-0.18533526	-0.43240166	1.4132098	0.015853196	0.153	12.0	32.72999906539917	24000
6	-2.4970946	4.5678406	4.755777	-9.608236	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	226.0	2.3541083	0.8793774	0.0	-inf	0.0	-0.7808287	0.0077938917	-0.77151495	-0.7922432	1.0	0.0	1.0	1.0	222.875	2.0	0.3010299956639812	-0.2546394	0.4126236	0.619271	-1.1844594	32.03888	0.028819768	32.060635	31.804081	-0.00147969	-0.015546961	1.1792612	20.37834	-0.031525254	-0.092476845	1.4796946	0.010287621	0.1055	79.0	37.70429015159607	28000
7	-0.70748043	3.7101963	7.694537	-6.528022	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	241.0	2.3820171	0.8731884	0.0	-inf	0.0	-0.24895349	0.0045548286	-0.24041295	-0.2545283	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.38297707	0.42631045	0.7207199	-1.2717105	32.97833	0.028147848	33.00143	32.70758	-0.0014977418	-0.008257316	0.8698735	21.715353	-0.04016766	-0.20992231	1.4977454	0.016457304	0.14625001	17.0	42.715900182724	32000
8	-3.272323	4.295366	2.5550807	-12.83151	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.6363636	0.4810457	1.0	0.0	248.0	2.3944516	0.85223365	0.0	-inf	0.0	-0.12547827	0.0041453205	-0.117633894	-0.13032132	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.28957406	0.40306336	0.74410444	-1.1660299	31.650248	0.07692098	31.686325	30.649132	-0.0014522411	-0.0074177664	0.70255184	22.648129	-0.016139112	-5.4554873	1.4522544	0.015385525	0.13175	12.0	47.14623141288757	36000
9	-3.2181273	4.896208	1.662091	-14.47941	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.25	0.4330127	1.0	0.0	250.0	2.3979402	0.8305648	0.0	-inf	0.0	-0.10770272	0.0059158807	-0.098913	-0.116341256	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.34943733	0.41707715	0.75921804	-1.1876854	17.180115	8.952254	26.795534	0.0	-0.0014170781	-0.012372436	0.73348296	15.264584	-0.02565746	-8.976513	1.417079	0.011315382	0.15975	79.0	51.60038995742798	40000
10	0.45705754	2.7674174	3.9180915	-3.0131035	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.125	0.3307189	1.0	0.0	251.0	2.3996737	0.8096774	0.0	-inf	0.0	-0.2500374	0.0099805035	-0.23080799	-0.26316294	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.4796361	0.32555243	0.8337198	-0.91999424	1.9260358	0.6371398	5.9169183	0.8170216	-0.00132557	-0.010114744	0.49388194	2.992342	-0.09883517	-0.86308956	1.3255788	0.0058264323	0.11125	79.0	55.78228759765625	44000
11	-0.8174591	1.5324128	1.2011559	-3.4455945	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	251.0	2.3996737	0.7893082	0.0	-inf	0.0	-0.20955226	0.008438647	-0.199943	-0.22233675	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.2879029	0.39170608	0.7427669	-0.99748546	0.4168578	0.21059951	2.129482	0.06966877	-0.0012501031	-0.0058019194	0.14534684	0.084535554	-0.01975812	-0.069269285	1.2501025	0.017823786	0.27325	5.0	59.569769620895386	48000
