Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
10	-3.5120292	3.3145723	4.758392	-7.965215	1.0	0.0	1.0	1.0	150.2	335.0	2.525045	0.8746736	1.0	0.0	1.0	1.0	335.0	2.525045	0.8746736	335.0	2.525045	0.8746736	-4.26791	0.088475704	-4.1256437	-4.4148817	1.0	0.0	1.0	1.0	135.125	2.446110486984253	0.388476069545683	-1.3282636	1.5403631	2.7486613	-5.261756	0.042826906	0.045808703	0.21515504	0.00057565485	0.047161847	0.05753955	0.2325189	-0.012279813	-0.0012441594	-0.0040136767	0.56305873	-0.08276972	1.244188	0.015881758	0.12650001	10.0	33.92339205741882	44000
11	-4.01101	3.0477057	4.5394754	-10.700446	1.0	0.0	1.0	1.0	134.3077	361.0	2.5575073	0.874092	1.0	0.0	1.0	1.0	361.0	2.5575073	0.874092	361.0	2.5575073	0.874092	-3.5160959	0.069553204	-3.3955994	-3.5972905	1.0	0.0	1.0	1.0	144.25	2.4921233654022217	0.39656953701896797	-1.7545928	1.5191184	1.6786159	-5.936003	0.061510842	0.05921003	0.2483253	0.0001093749	0.04660594	0.052794624	0.21059513	-0.015750807	-0.0013411064	-0.008696826	0.73248255	-0.163156	1.3411322	0.015151507	0.1275	42.0	37.001463651657104	48000
12	-2.9315445	3.3142176	6.6015387	-7.834599	1.0	0.0	1.0	1.0	151.66667	385.0	2.5854607	0.8730159	1.0	0.0	1.0	1.0	385.0	2.5854607	0.8730159	385.0	2.5854607	0.8730159	-2.7790203	0.040902466	-2.7053263	-2.8412395	1.0	0.0	1.0	1.0	157.25	2.538367748260498	0.404554541111943	-1.0452505	1.1595346	3.4826891	-4.639907	0.05153178	0.054738767	0.23397757	0.0	0.040900897	0.050687023	0.23194326	-0.014197843	-0.0013144687	-0.009666522	0.7980883	-0.17358881	1.3144674	0.017669626	0.14750001	12.0	40.016183853149414	52000
13	-1.7660549	2.612878	3.8528726	-7.159657	1.0	0.0	1.0	1.0	157.86957	408.0	2.61066	0.8717949	1.0	0.0	1.0	1.0	408.0	2.61066	0.8717949	408.0	2.61066	0.8717949	-2.0009217	0.07300148	-1.8923932	-2.1011295	1.0	0.0	1.0	1.0	164.25	2.5848379135131836	0.41243331513834364	-1.1412729	1.126583	2.4358873	-5.314282	0.041866906	0.04849613	0.20354225	4.0446568e-05	0.041539498	0.054822396	0.22172207	-0.019864175	-0.0013303412	-0.008905158	0.6464454	-0.10885225	1.3303583	0.015065112	0.120749995	75.0	43.2022807598114	56000
14	-1.3304389	4.8190374	11.972639	-12.4604	1.0	0.0	1.0	1.0	166.0	429.0	2.6324573	0.8701826	1.0	0.0	1.0	1.0	429.0	2.6324573	0.8701826	429.0	2.6324573	0.8701826	-2.3546228	0.019061549	-2.3129354	-2.3818426	1.0	0.0	1.0	1.0	144.125	2.6315276622772217	0.4202079396245148	-0.8649863	0.9418321	3.1697881	-4.5506763	0.040096495	0.051799305	0.20852655	0.0	0.055228006	0.054912794	0.22454621	-0.004576884	-0.0012951083	-0.011457233	0.7723323	-0.20227408	1.2950724	0.015039498	0.118499994	65.0	46.3108115196228	60000
15	-2.2562003	2.956345	2.4613621	-8.172199	1.0	0.0	1.0	1.0	167.66667	450.0	2.6532125	0.8687259	1.0	0.0	1.0	1.0	450.0	2.6532125	0.8687259	450.0	2.6532125	0.8687259	-1.6490915	0.067711	-1.5463128	-1.7449962	1.0	0.0	1.0	1.0	169.875	2.6784307956695557	0.42788042970939777	-0.9250576	1.514094	3.073731	-8.064642	0.054200463	0.0544264	0.22558288	0.006777686	0.04928211	0.058214728	0.2175879	-0.022038786	-0.001330723	-0.009313506	0.6986135	-0.19115701	1.3306618	0.009951497	0.104	79.0	49.473849058151245	64000
16	-1.3405006	2.302153	3.9100428	-5.699202	1.0	0.0	1.0	1.0	185.3	470.0	2.672098	0.86715865	1.0	0.0	1.0	1.0	470.0	2.672098	0.86715865	470.0	2.672098	0.86715865	-2.8013427	0.07487588	-2.6864867	-2.9332674	1.0	0.0	1.0	1.0	163.25	2.725541830062866	0.43545285171909065	-0.7387848	0.8920679	2.8104627	-3.7659302	0.044345282	0.05025712	0.20204379	0.00015962352	0.052522164	0.06604046	0.23505126	-0.017757682	-0.0013234197	-0.007061039	0.5186707	-0.14440155	1.3234235	0.00824493	0.1035	79.0	52.65275502204895	68000
17	-1.8290818	3.3538866	5.5837016	-7.619403	1.0	0.0	1.0	1.0	180.05	490.0	2.690196	0.8657244	1.0	0.0	1.0	1.0	490.0	2.690196	0.8657244	490.0	2.690196	0.8657244	-0.51537555	0.6937164	-0.161699	-2.342585	1.0	0.0	1.0	1.0	263.25	2.772854804992676	0.44292712920952804	-0.5161783	0.91226405	2.4663272	-3.9369998	0.046480164	0.056383725	0.22533102	0.0	0.036972657	0.048016712	0.22468486	-0.015523469	-0.0013816357	-0.00992687	0.59947276	-0.12658753	1.3816165	0.012346437	0.106	79.0	55.8560631275177	72000
18	-0.44406068	3.537259	5.865726	-7.623648	1.0	0.0	1.0	1.0	201.88889	508.0	2.7058637	0.8639456	1.0	0.0	1.0	1.0	508.0	2.7058637	0.8639456	508.0	2.7058637	0.8639456	0.25798064	0.09961014	0.34879252	0.1037136	1.0	0.0	1.0	1.0	211.875	2.8203632831573486	0.4503050521878329	-0.28347918	1.0931957	3.1180232	-4.174026	0.03094285	0.035435986	0.21736676	5.96519e-05	0.052291356	0.05513091	0.25910857	-0.0043296237	-0.0008656606	-0.008015443	0.53726274	-0.115348175	0.86563146	0.0151711395	0.13575	69.0	59.11801767349243	76000
19	-0.2820468	1.9889119	3.362629	-3.83638	1.0	0.0	1.0	1.0	199.33333	526.0	2.7209857	0.8622951	1.0	0.0	1.0	1.0	526.0	2.7209857	0.8622951	526.0	2.7209857	0.8622951	-0.18865597	0.122490935	0.008860914	-0.38387382	1.0	0.0	1.0	1.0	187.75	2.8680613040924072	0.45758843003080696	0.13603845	1.1034693	4.1462	-4.356672	0.02838652	0.028159883	0.19324884	0.0032483113	0.042744484	0.049718518	0.21504536	-0.010108996	-0.00073419977	-0.0106962435	0.3274965	-0.17374322	0.73419106	0.015201619	0.14825	30.0	62.153398752212524	80000
