Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.4764644	3.1276789	0.86774445	-12.13246	1.0	0.0	1.0	1.0	83.431816	44.0	1.6434526	0.84615386	1.0	0.0	1.0	1.0	44.0	1.6434526	0.84615386	44.0	1.6434526	0.84615386	-0.8631128	0.13194779	-0.65067405	-1.0728266	1.0	0.0	1.0	1.0	101.875	2.0	0.3010299956639812	-0.09939999	0.1444928	0.25886953	-0.50159156	0.003357991	0.011509639	0.14777409	0.0	0.049041472	0.036024112	0.1352702	-0.0924681	-0.0013823844	-0.013686141	0.9148538	-0.24187428	1.3823748	0.015025377	0.120000005	76.0	3.175183057785034	4000
1	-1.2955867	2.6021729	5.1577024	-8.824053	1.0	0.0	1.0	1.0	95.74359	83.0	1.9190781	0.8736842	1.0	0.0	1.0	1.0	83.0	1.9190781	0.8736842	83.0	1.9190781	0.8736842	-2.25427	0.19558758	-1.9623817	-2.5327423	1.0	0.0	1.0	1.0	157.875	2.043377637863159	0.31034863627716913	-0.58851	0.5904518	0.6315316	-3.2640252	0.046303466	0.02840508	0.12661174	0.0	0.04718578	0.026220353	0.14881074	-0.014443427	-0.001348584	-0.009719011	0.57659066	-0.20980895	1.3485818	0.015570161	0.099	16.0	6.155836582183838	8000
2	-0.877696	1.8003182	2.092349	-4.816029	1.0	0.0	1.0	1.0	133.18518	110.0	2.0413928	0.8730159	1.0	0.0	1.0	1.0	110.0	2.0413928	0.8730159	110.0	2.0413928	0.8730159	-1.0280964	0.24661936	-0.75681114	-1.536703	1.0	0.0	1.0	1.0	202.375	2.0870449542999268	0.31953180373441925	-1.094084	1.4310257	0.8896668	-5.7584543	0.042646583	0.02105431	0.12912776	0.0	0.061523322	0.03451044	0.21199113	-0.028457846	-0.001394663	-0.010969271	0.72506404	-0.40079188	1.3946911	0.0073283096	0.06300001	79.0	9.378424644470215	12000
3	-0.5113603	2.6304083	7.7148895	-5.499844	1.0	0.0	1.0	1.0	151.20833	134.0	2.1271048	0.8701299	1.0	0.0	1.0	1.0	134.0	2.1271048	0.8701299	134.0	2.1271048	0.8701299	-1.147836	0.072154365	-1.0431106	-1.253499	1.0	0.0	1.0	1.0	238.25	2.130995512008667	0.3285825350675932	-0.42299643	0.56503874	0.85689586	-1.947879	0.05496488	0.03324617	0.16636354	7.0240276e-05	0.038842324	0.042202886	0.19577056	-0.043375492	-0.001349939	-0.014076661	0.45755887	-0.088187076	1.3499599	0.011028007	0.079500005	79.0	12.591302156448364	16000
4	-1.9975382	6.346222	16.981506	-12.493506	1.0	0.0	1.0	1.0	179.61111	152.0	2.1818435	0.8636364	1.0	0.0	1.0	1.0	152.0	2.1818435	0.8636364	152.0	2.1818435	0.8636364	0.45036185	0.06348673	0.5616622	0.3586942	1.0	0.0	1.0	1.0	157.0	2.1752243041992188	0.3375040470622683	-0.7603705	1.097955	1.7515874	-4.0070076	0.035568845	0.03142105	0.1685219	0.0	0.046499886	0.029295433	0.16537862	-0.029870909	-0.0014303466	-0.012648222	1.1861653	-0.40828553	1.430365	0.009291289	0.091749996	79.0	15.725951433181763	20000
5	1.7802151	5.8119564	15.798637	-8.572043	1.0	0.0	1.0	1.0	159.83333	176.0	2.2455127	0.8627451	1.0	0.0	1.0	1.0	176.0	2.2455127	0.8627451	176.0	2.2455127	0.8627451	3.362669	0.030046549	3.406696	3.2950842	1.0	0.0	1.0	1.0	141.25	2.2197248935699463	0.3462991525551269	-0.8102743	1.7272017	3.173924	-7.2875576	0.05055695	0.022651285	0.14890286	0.011358729	0.042813424	0.027319565	0.17098132	-0.005065184	-0.0015236106	-0.009371724	1.7431668	-0.6405472	1.5235913	0.009673519	0.0925	79.0	18.872270584106445	24000
6	3.8332105	3.4685943	12.119369	-1.3071656	1.0	0.0	1.0	1.0	154.95653	199.0	2.2988532	0.86147183	1.0	0.0	1.0	1.0	199.0	2.2988532	0.86147183	199.0	2.2988532	0.86147183	1.9537349	0.07970507	2.04891	1.8012472	1.0	0.0	1.0	1.0	160.625	2.2644920349121094	0.3549707974412315	0.9866469	2.1355615	7.4199347	-4.5183544	0.025741516	0.01386587	0.0812074	0.002063167	0.048288666	0.023357723	0.14099483	-0.015814098	-0.0015312536	-0.006213291	0.8508947	-0.27292913	1.5312632	0.006009369	0.06525	79.0	22.108943223953247	28000
7	4.0525684	5.0467134	13.016506	-3.7610886	1.0	0.0	1.0	1.0	185.11765	216.0	2.3344538	0.85714287	1.0	0.0	1.0	1.0	216.0	2.3344538	0.85714287	216.0	2.3344538	0.85714287	2.5683582	0.013681863	2.5968263	2.5503354	1.0	0.0	1.0	1.0	176.125	2.3095202445983887	0.36352177350130715	1.1099921	1.5043613	5.6418595	-2.8929462	0.028889492	0.01124245	0.07679307	0.0010640869	0.040880334	0.023870418	0.14696729	-0.007991489	-0.0015635155	-0.00744998	0.9976267	-0.248843	1.5634897	0.0037550922	0.078	79.0	25.346829891204834	32000
8	3.923388	4.640074	12.509447	-6.967424	1.0	0.0	1.0	1.0	185.73685	235.0	2.371068	0.8545455	1.0	0.0	1.0	1.0	235.0	2.371068	0.8545455	235.0	2.371068	0.8545455	5.2142134	0.09121479	5.327815	5.0507164	0.0	0.0	0.0	0.0	500.0	2.3548030853271484	0.37195459616496473	1.3116286	1.9604284	8.274688	-2.7139473	0.022464097	0.012581944	0.071648784	0.0	0.043916684	0.024199754	0.14231405	-0.0062280893	-0.0015379302	-0.008995917	0.9471649	-0.15232033	1.5379825	0.013123527	0.14150001	79.0	28.710281133651733	36000
9	3.7853436	5.1148176	11.826785	-9.693353	1.0	0.0	1.0	1.0	208.8125	251.0	2.3996737	0.8508475	1.0	0.0	1.0	1.0	251.0	2.3996737	0.8508475	251.0	2.3996737	0.8508475	3.6713233	0.124570765	3.862751	3.4826548	0.0	0.0	0.0	0.0	500.0	2.4003350734710693	0.38027187104581983	1.5069145	1.6116009	6.7338514	-3.6446693	0.036054082	0.013668277	0.09327408	0.0020129825	0.046918105	0.02099745	0.11415368	-0.014644062	-0.0015424846	-0.011762331	1.2902381	-0.3493919	1.5424783	0.011729868	0.1525	79.0	32.09869909286499	40000
10	4.5353065	4.758577	11.409998	-4.824946	0.8	0.4	1.0	0.0	291.2	259.0	2.4132998	0.8381877	0.8	0.4	1.0	0.0	259.0	2.4132998	0.8381877	259.0	2.4132998	0.8381877	0.8283243	0.015875349	0.85365266	0.795035	0.0	0.0	0.0	0.0	500.0	2.446110486984253	0.388476069545683	0.7429345	1.7006173	6.6920547	-6.050267	0.038704112	0.01484687	0.08667124	0.0	0.03694603	0.021590708	0.13502046	-0.014187083	-0.0014620423	-0.0071664187	1.1826023	-0.27492744	1.4620728	0.015228895	0.148	31.0	35.38094973564148	44000
