Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.80668753	1.7245046	1.1803563	-8.090395	0.67391306	0.46877953	1.0	0.0	219.23914	31.0	1.4913617	0.5740741	1.0	0.0	1.0	1.0	46.0	1.6627579	0.8518519	0.0	-inf	0.0	0.04574579	0.047522284	0.1262135	-0.045431107	1.0	0.0	1.0	1.0	170.75	2.0	0.3010299956639812	0.0038331046	0.0681029	0.17580028	-0.22109628	0.006002869	0.022570433	0.15582722	0.0	-0.0015209317	-0.017497862	0.3432302	57.797646	-0.11821075	-6.1242504	1.52092	0.015233653	0.17625	11.0	3.7381255626678467	4000
1	-1.3320835	4.3356414	8.94814	-15.246074	0.52	0.49959984	1.0	0.0	318.76	44.0	1.6434526	0.5301205	0.96	0.1959592	1.0	0.0	70.0	1.845098	0.8433735	1.0	0.0	0.012048192	-0.048276044	0.011532318	-0.034886505	-0.06661096	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.15593246	0.38906568	1.108243	-1.068362	7.0902805	1.6667132	8.686547	0.0	-0.0014987397	-0.006456596	0.9323964	35.872566	-0.07369343	-4.3541193	1.4987509	0.01608844	0.085	10.0	7.636495590209961	8000
2	1.4205261	7.4739494	17.40847	-16.643703	0.33333334	0.47140452	1.0	0.0	400.05554	50.0	1.69897	0.47619048	0.8333333	0.372678	1.0	0.0	85.0	1.9294189	0.8095238	3.0	0.47712123	0.028571429	0.037510715	0.0025438212	0.040136967	0.031533863	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.031869575	0.46776596	0.8470074	-0.7911936	13.790531	0.9619958	14.51057	7.7378078	-0.0014656708	-0.01107363	1.583998	23.87977	-0.13042311	-0.46648884	1.4656736	0.010662901	0.08975001	79.0	11.764008045196533	12000
3	-2.2216187	5.7886534	9.698698	-13.078725	0.5	0.5	1.0	0.0	361.9375	58.0	1.763428	0.464	0.875	0.3307189	1.0	0.0	99.0	1.9956352	0.792	5.0	0.69897	0.04	0.11853215	0.0038463934	0.12289505	0.11140861	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.11141725	0.5704698	1.2300581	-0.918789	12.491569	4.9445295	15.885722	0.0	-0.0014598742	-0.013008067	1.6784949	23.231293	-0.21834512	-1.3228154	1.4598715	0.015048409	0.12975001	23.0	15.746904611587524	16000
4	0.2377916	6.546099	13.775439	-11.250611	0.44444445	0.49690402	1.0	0.0	401.55554	62.0	1.7923918	0.44927537	0.33333334	0.4714045	1.0	0.0	102.0	2.0086002	0.73913044	8.0	0.90309	0.057971016	2.908048	0.1274951	3.1282842	2.7119024	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.06552863	0.6047882	1.4744374	-1.3525436	15.877598	1.1040488	16.475428	0.6412159	-0.0014278423	-0.011420269	1.4295278	14.408184	-0.07787967	-6.081927	1.4278347	0.01461621	0.117249995	79.0	19.83248734474182	20000
5	4.0948634	7.3551393	18.614151	-9.157727	0.375	0.48412293	1.0	0.0	456.5	65.0	1.8129133	0.4362416	0.5	0.5	1.0	0.0	106.0	2.0253057	0.7114094	8.0	0.90309	0.053691275	8.015061	0.112819456	8.179433	7.846482	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.22373019	0.5738307	1.409529	-1.1951569	2.835746	2.4721956	10.462572	0.04165808	-0.0013498031	-0.010151347	1.437226	9.792812	-0.23207912	-0.53530353	1.3497816	0.013306148	0.17225	79.0	24.00662398338318	24000
6	10.706711	12.6018715	36.195072	-5.1224937	0.25	0.4330127	1.0	0.0	470.625	67.0	1.8260748	0.42405063	0.25	0.4330127	1.0	0.0	108.0	2.0334237	0.6835443	8.0	0.90309	0.050632913	4.20064	0.038458247	4.2383623	4.130382	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.3361056	0.41312587	1.246947	-0.65913343	2.3344078	2.3831244	9.755077	0.07846916	-0.0013241172	-0.0046590604	2.3273234	5.299558	-0.16602002	-0.5536629	1.3241107	0.018871253	0.1885	7.0	28.052931547164917	28000
7	4.8360333	7.9927697	19.555443	-6.3096395	0.125	0.3307189	1.0	0.0	476.875	68.0	1.8325089	0.4047619	0.25	0.4330127	1.0	0.0	110.0	2.0413928	0.6547619	8.0	0.90309	0.04761905	3.4260821	0.2864007	3.7584395	2.992873	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.55332	0.25942168	1.126397	-0.26875654	0.77818406	1.4268699	7.8487487	0.0	-0.0012105927	-0.008033972	1.2973919	4.858946	-0.107716456	-0.055224627	1.2105707	0.018374654	0.231	5.0	31.800523281097412	32000
8	8.964554	4.4308934	14.911417	0.5368613	0.125	0.3307189	1.0	0.0	490.125	69.0	1.8388491	0.3898305	0.125	0.3307189	1.0	0.0	111.0	2.045323	0.62711865	8.0	0.90309	0.04519774	2.2887907	0.08196709	2.3945634	2.138801	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.5432504	0.35593224	0.96950704	-0.57426345	0.8283757	1.482809	7.159601	0.0	-0.0012170821	-0.0053479336	1.3672984	2.5570345	-0.0046646595	-0.12750381	1.2170833	0.017164724	0.1765	9.0	35.55812859535217	36000
9	2.5573764	4.179352	12.394161	-1.935471	0.0	0.0	0.0	0.0	500.0	69.0	1.8388491	0.37297297	0.0	0.0	0.0	0.0	111.0	2.045323	0.6	8.0	0.90309	0.043243244	10.140915	0.2788443	10.532531	9.595869	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.548792	0.20980734	0.9644269	-0.0064009386	0.25299644	0.19480085	2.29909	0.0	-0.0011460707	-0.011401063	0.75405633	0.041263714	-0.018822208	-0.035412136	1.1460723	0.0154801775	0.15525001	21.0	39.39903664588928	40000
