Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
10	-0.08580178	0.28679705	0.39506602	-1.4475323	2.8764741	0.40138283	4.0877333	2.0643134	34.910713	3225.5935	3.5086095	2.752213	2.8764741	0.40138283	4.0877333	2.0643134	3225.5935	3.5086095	2.752213	1124.0	3.0507662	0.9590444	-2.0309222	0.055729214	-1.9583445	-2.124407	2.14857	0.1818909	2.4539413	1.8844223	154.5	2.429128885269165	0.38545055831119307	-0.08689272	0.1952601	0.3968706	-1.4118539	40.982822	7.4811983	61.14411	19.916555	-67.19646	43.43089	85.10427	-82.856346	-0.0015213378	-0.015180148	0.010362536	-0.00066522043	1.5213321	0.018905863	0.0045	2.0	33.086827754974365	44000
11	-0.08792682	0.32867223	0.50164163	-1.8263577	2.851065	0.4107715	4.0027003	1.9551792	34.84071	3548.2832	3.5500183	2.752741	2.851065	0.4107715	4.0027003	1.9551792	3548.2832	3.5500183	2.752741	1237.0	3.0923698	0.9596586	-2.0534766	0.079470955	-1.8756835	-2.1428368	2.2428544	0.28499684	2.6504211	1.8323536	153.75	2.472985029220581	0.39322148726846623	-0.07863576	0.20996507	0.33709687	-1.4962775	45.416363	8.540662	66.460594	23.466986	-69.298164	52.065075	92.24476	-89.80158	-0.0015068855	-0.015688092	0.009787895	-0.0004646692	1.5069118	0.02009593	0.0055	2.0	36.129767417907715	48000
12	-0.11206975	0.22428533	0.24562645	-1.3661075	2.7355032	0.35885432	3.4473333	1.9166741	34.026318	3861.721	3.586781	2.744649	2.7355032	0.35885432	3.4473333	1.9166741	3861.721	3.586781	2.744649	1351.0	3.1306553	0.960199	-2.037203	0.055127908	-1.9688541	-2.108241	2.2125683	0.30467513	2.719902	1.8374004	151.375	2.517184257507324	0.4009150070023988	-0.085519865	0.18412653	0.19886142	-1.182609	49.674267	9.752234	75.50976	24.417612	-76.22594	55.061466	99.20792	-96.573166	-0.0014925702	-0.011841396	0.005818529	-0.0005864257	1.4924691	0.019873884	0.0055	2.0	39.07411527633667	52000
13	-0.13958064	0.44692907	0.45261478	-3.0187843	2.844791	0.42596492	3.9283614	2.169652	35.348213	4180.338	3.6212113	2.7448049	2.844791	0.42596492	3.9283614	2.169652	4180.338	3.6212113	2.7448049	1463.0	3.1652443	0.9606041	-2.0446687	0.06813323	-1.9156892	-2.1249611	2.2912345	0.27119613	2.5735989	1.8401585	149.875	2.5615925788879395	0.4085100563956937	-0.13605313	0.29294622	0.3067473	-2.0357003	54.029984	11.121407	82.07595	26.546188	-89.73594	46.753666	106.1028	-103.278366	-0.0014780564	-0.011047028	0.017441723	-0.0016475727	1.477957	0.020808928	0.00475	2.0	42.13628578186035	56000
14	-0.109758	0.3778083	0.7146807	-2.8054688	2.9200165	0.37357762	4.0435452	2.037066	35.936363	4501.539	3.653361	2.7498713	2.9200165	0.37357762	4.0435452	2.037066	4501.539	3.653361	2.7498713	1573.0	3.1967287	0.9609041	-2.0039878	0.064771146	-1.8620418	-2.0701406	2.2694194	0.34521043	2.7602901	1.9148617	146.375	2.606323719024658	0.41602835637072033	-0.09877005	0.25394362	0.3719386	-2.6531074	55.87699	11.522642	84.44768	26.91645	-94.83677	49.507633	112.84202	-109.83143	-0.0014665432	-0.010150321	0.012774333	-0.00053981296	1.466589	0.021473972	0.0055	2.0	45.122509241104126	60000
15	-0.14921589	0.38248995	0.5439682	-2.1309028	2.8714912	0.4143963	3.9983702	2.0693126	35.432434	4820.2754	3.6830719	2.7512987	2.8714912	0.4143963	3.9983702	2.0693126	4820.2754	3.6830719	2.7512987	1684.0	3.2263422	0.96118724	-2.0084124	0.05503121	-1.8958181	-2.0938966	2.266263	0.28916025	2.807787	1.8766747	144.25	2.6514344215393066	0.42348089009466705	-0.11249802	0.26043516	0.51362216	-1.7526019	57.015236	12.059886	84.9125	25.552223	-97.44026	58.453514	119.59549	-116.39928	-0.0014545415	-0.008423616	0.012615273	-0.0010667902	1.4544837	0.022126533	0.00525	2.0	48.0722336769104	64000
16	-0.12476337	0.36627007	0.5229116	-2.747836	2.9417572	0.4165388	4.280343	2.1255932	35.754547	5143.868	3.71129	2.7566283	2.9417572	0.4165388	4.280343	2.1255932	5143.868	3.71129	2.7566283	1794.0	3.2538223	0.9614148	-1.9429302	0.08891632	-1.7805871	-2.0661674	2.2517872	0.30142403	2.6379395	1.840374	140.625	2.6968483924865723	0.4308565326015098	-0.11180629	0.2592653	0.31948003	-2.511487	58.036922	12.62759	88.83139	28.544436	-103.66055	60.625603	126.217445	-122.83825	-0.0014415178	-0.006443289	0.01007841	-0.00042510033	1.4413649	0.0230464	0.00625	2.0	51.02015423774719	68000
17	-0.11374794	0.361222	0.39096394	-2.6362033	2.9634552	0.3892715	3.9383774	2.1267414	36.11111	5464.9775	3.7375884	2.7628806	2.9634552	0.3892715	3.9383774	2.1267414	5464.9775	3.7375884	2.7628806	1902.0	3.2792106	0.96157736	-2.0118966	0.06787749	-1.8645388	-2.0816164	2.3590147	0.33698574	2.7696915	1.8484879	139.375	2.7426202297210693	0.43816567506531345	-0.09946271	0.27355435	0.2538851	-2.4169083	58.758926	12.972695	87.19545	27.0	-113.4692	56.655136	132.81697	-129.25542	-0.0014284048	-0.0048690904	0.012295624	-0.0005224389	1.4285271	0.020988371	0.0039999997	2.0	53.945780754089355	72000
18	-0.07356377	0.21839282	1.000299	-0.62677944	3.124836	0.5273868	4.966392	1.9504361	37.883495	5786.835	3.7624412	2.7754605	3.124836	0.5273868	4.966392	1.9504361	5786.835	3.7624412	2.7754605	2005.0	3.3021145	0.9616307	-1.9645553	0.06721879	-1.885348	-2.0861137	2.470994	0.25641072	2.7852516	2.0701122	136.0	2.7887461185455322	0.4454089788291671	-0.09989752	0.1996641	0.42095298	-1.4876133	59.583515	13.590845	90.0	26.0	-122.42422	53.332848	139.33977	-135.59785	-0.0014222311	-0.0038638045	0.016040888	-0.0066147028	1.4224262	0.01925963	0.00275	2.0	56.866668939590454	76000
19	-0.12398086	0.35802266	1.0560458	-2.1562846	3.0633671	0.43477726	4.4162464	2.0268078	36.962265	6111.5522	3.7861514	2.7843063	3.0633671	0.43477726	4.4162464	2.0268078	6111.5522	3.7861514	2.7843063	2111.0	3.3244882	0.9617312	-1.9444116	0.08690149	-1.840779	-2.0940254	2.2187898	0.23895459	2.6847382	1.9398022	133.25	2.8353586196899414	0.4526079968100609	-0.07525363	0.15214853	0.40450037	-1.1166427	59.52344	13.802549	90.0	27.178543	-124.64381	63.212345	145.7453	-141.8252	-0.0014112405	-0.0030433526	0.019676028	-0.0039988575	1.4112772	0.017721197	0.003	2.0	59.80123233795166	80000
